Deflection	Force
2,691786528	813,6952515
2,695401669	811,9528198
2,699090958	814,5664673
2,700873613	811,081604
2,702681303	812,8240356
2,70451355	816,3088989
2,71001029	818,9224854
2,719246149	821,5361328
2,724767685	823,2785645
2,730215073	825,0209961
2,737519503	826,7633667
2,746680975	829,3770142
2,748587608	831,1194458
2,757773876	833,7330933
2,763221264	835,4754639
2,772357941	836,3466797
2,77604723	838,9603271
2,781544209	840,7027588
2,785283089	842,4451904
2,792636871	844,187561
2,799916506	846,8012085
2,810885429	848,5436401
2,820121288	850,2860718
2,821953535	852,0285034
2,825618267	854,6420898
2,827450514	852,0285034
2,831065416	854,6420898
2,84015274	853,770874
2,841984987	855,5133057
2,845674276	857,2557373
2,847506523	859,8693848
2,854934931	861,6118164
2,85862422	859,8693848
2,860456467	863,354187
2,864071608	861,6118164
2,865903854	863,354187
2,867760897	865,0966187
2,871376038	866,8390503
2,876847982	868,5814819
2,884251595	871,1950684
2,886108637	869,4526978
2,887940884	871,1950684
2,889748335	872,9375
2,897102356	874,6799316
2,902574539	877,2935791
2,907997131	879,9072266
2,909829378	878,1647949
2,920946836	879,0360107
2,924611568	881,6495972
2,93372345	880,7783813
2,935580492	883,3920288
2,937363148	885,1344604
2,942835331	886,8768921
2,950214148	890,3616943
2,959449768	890,3616943
2,964921951	892,104126
2,968586445	893,8465576
2,972201586	892,104126
2,974033833	896,4602051
2,977673769	893,8465576
2,979506016	899,9450073
2,983170509	895,5889893
2,985077143	899,0737915
2,986958981	902,5586548
2,988791227	900,8162231
2,996120453	902,5586548
3,001567841	906,0435181
3,003424883	904,3010864
3,005207539	906,0435181
3,012511969	907,7858887
3,019940138	910,3995361
3,021772623	912,1419678
3,025437117	910,3995361
3,030958652	912,1419678
3,040045977	915,6268311
3,041853428	917,3692017
3,043661118	915,6268311
3,0510149	918,2404175
3,058418274	921,7252808
3,065747499	919,1116333
3,069412231	925,210144
3,071244478	923,4677124
3,074859381	926,0812988
3,084020853	927,8237305
3,087784529	929,5661621
3,095088959	931,3085938
3,096946001	933,0510254
3,102393389	934,793457
3,104250431	936,5358276
3,109673023	938,2782593
3,113362312	935,6646118
3,115219355	937,4070435
3,120765924	939,1494751
3,124455214	940,8919067
3,135399342	943,5055542
3,137231827	941,7631226
3,140871525	944,376709
3,146343708	946,1191406
3,153722286	948,7327881
3,162958145	949,6040039
3,164790392	952,2176514
3,166622639	953,960022
3,17023778	952,2176514
3,172094822	954,8312378
3,177517414	956,5736694
3,181206703	954,8312378
3,183063745	956,5736694
3,18484664	959,1873169
3,19408226	960,9297485
3,197771788	959,1873169
3,199604034	962,6721191
3,201436281	964,4145508
3,203218937	961,8009644
3,208715916	964,4145508
3,210548162	966,1569824
3,214188099	964,4145508
